year,temp_help_share,temp_help_share,covid_flag
1990,1.0556060669464025,1970-01-01 00:00:00.000000000,False
1991,1.037004019335849,1970-01-01 00:00:00.000000001,False
1992,1.1131095001440066,1970-01-01 00:00:00.000000002,False
1993,1.2507192747607048,1970-01-01 00:00:00.000000003,False
1994,1.4246280139177872,1970-01-01 00:00:00.000000004,False
1995,1.4860315687044112,1970-01-01 00:00:00.000000005,False
1996,1.543331543616693,1970-01-01 00:00:00.000000006,False
1997,1.6751753539787912,1970-01-01 00:00:00.000000007,False
1998,1.7779802354881205,1970-01-01 00:00:00.000000008,False
1999,1.9095602469540232,1970-01-01 00:00:00.000000009,False
2000,1.997197341261575,1970-01-01 00:00:00.000000010,False
2001,1.772555858475667,1970-01-01 00:00:00.000000011,False
2002,1.679817300914452,1970-01-01 00:00:00.000000012,False
2003,1.7063665114566005,1970-01-01 00:00:00.000000013,False
2004,1.810527594075888,1970-01-01 00:00:00.000000014,False
2005,1.8997224980522631,1970-01-01 00:00:00.000000015,False
2006,1.9342007936755163,1970-01-01 00:00:00.000000016,False
2007,1.8836158553783473,1970-01-01 00:00:00.000000017,False
2008,1.7160082758603936,1970-01-01 00:00:00.000000018,False
2009,1.3894634885715138,1970-01-01 00:00:00.000000019,False
2010,1.6050347311024948,1970-01-01 00:00:00.000000020,False
2011,1.7523499684144035,1970-01-01 00:00:00.000000021,False
2012,1.8600630864662264,1970-01-01 00:00:00.000000022,False
2013,1.9204646012290931,1970-01-01 00:00:00.000000023,False
2014,1.987321491020489,1970-01-01 00:00:00.000000024,False
2015,2.0277019021917986,1970-01-01 00:00:00.000000025,False
2016,2.0003140908426933,1970-01-01 00:00:00.000000026,False
2017,2.004376678555696,1970-01-01 00:00:00.000000027,False
2018,2.0090567989236168,1970-01-01 00:00:00.000000028,False
2019,1.9591122675898371,1970-01-01 00:00:00.000000029,False
2020,1.772427331980025,1970-01-01 00:00:00.000000030,True
2021,1.98413249994873,1970-01-01 00:00:00.000000031,True
2022,2.0251175850408885,1970-01-01 00:00:00.000000032,False
2023,1.8247188416581008,1970-01-01 00:00:00.000000033,False
2024,1.6560518642136717,1970-01-01 00:00:00.000000034,False
2025,1.5759806486937395,1970-01-01 00:00:00.000000035,False
2026,1.5587527959502867,1970-01-01 00:00:00.000000036,False
