year,unemp_duration_weeks,covid_flag
1948,8.641666666666667,False
1949,10.041666666666666,False
1950,12.041666666666666,False
1951,9.666666666666666,False
1952,8.433333333333334,False
1953,8.016666666666667,False
1954,11.808333333333332,False
1955,12.975,False
1956,11.291666666666666,False
1957,10.45,False
1958,13.975,False
1959,14.366666666666667,False
1960,12.791666666666666,False
1961,15.65,False
1962,14.666666666666666,False
1963,14.0,False
1964,13.291666666666666,False
1965,11.791666666666666,False
1966,10.333333333333334,False
1967,8.75,False
1968,8.416666666666666,False
1969,7.891666666666667,False
1970,8.666666666666666,False
1971,11.35,False
1972,12.008333333333333,False
1973,10.016666666666667,False
1974,9.733333333333333,False
1975,14.25,False
1976,15.775,False
1977,14.266666666666666,False
1978,11.875,False
1979,10.816666666666668,False
1980,11.925,False
1981,13.758333333333333,False
1982,15.608333333333334,False
1983,19.941666666666663,False
1984,18.091666666666665,False
1985,15.608333333333334,False
1986,15.041666666666666,False
1987,14.508333333333333,False
1988,13.5,False
1989,11.9,False
1990,11.983333333333334,False
1991,13.683333333333332,False
1992,17.775000000000002,False
1993,17.983333333333334,False
1994,18.791666666666668,False
1995,16.625,False
1996,16.716666666666665,False
1997,15.791666666666666,False
1998,14.483333333333334,False
1999,13.375,False
2000,12.65,False
2001,13.083333333333334,False
2002,16.666666666666668,False
2003,19.233333333333334,False
2004,19.608333333333334,False
2005,18.416666666666668,False
2006,16.84166666666667,False
2007,16.849999999999998,False
2008,17.791666666666668,False
2009,24.333333333333332,False
2010,33.09166666666667,False
2011,39.4,False
2012,39.43333333333333,False
2013,36.6,False
2014,33.699999999999996,False
2015,29.1,False
2016,27.491666666666664,False
2017,25.008333333333336,False
2018,22.691666666666663,False
2019,21.666666666666668,False
2020,18.208333333333332,True
2021,28.725,True
2022,22.575,False
2023,20.633333333333333,False
2024,21.65833333333333,False
2025,23.145454545454545,False
2026,24.9,False
