year,union_rate,covid_flag
1983,20.1,False
1984,18.8,False
1985,18.0,False
1986,17.5,False
1987,17.0,False
1988,16.8,False
1989,16.4,False
1990,16.0,False
1991,16.0,False
1992,15.7,False
1993,15.7,False
1994,15.5,False
1995,14.9,False
1996,14.5,False
1997,14.1,False
1998,13.9,False
1999,13.9,False
2000,13.4,False
2001,13.3,False
2002,13.3,False
2003,12.9,False
2004,12.5,False
2005,12.5,False
2006,12.0,False
2007,12.1,False
2008,12.4,False
2009,12.3,False
2010,11.9,False
2011,11.8,False
2012,11.3,False
2013,11.3,False
2014,11.1,False
2015,11.1,False
2016,10.7,False
2017,10.7,False
2018,10.5,False
2019,10.3,False
2020,10.8,True
2021,10.3,True
2022,10.1,False
2023,10.0,False
2024,9.9,False
2025,10.0,False
